version,term_localName
http://rs.tdwg.org/dwc/doe/version/d001-2020-02-10,d001
http://rs.tdwg.org/dwc/doe/version/d002-2020-02-10,d002
http://rs.tdwg.org/dwc/doe/version/d003-2020-02-10,d003
http://rs.tdwg.org/dwc/doe/version/d004-2020-02-10,d004
http://rs.tdwg.org/dwc/doe/version/d005-2020-02-10,d005
http://rs.tdwg.org/dwc/doe/version/d006-2020-02-10,d006
http://rs.tdwg.org/dwc/doe/version/d007-2020-02-10,d007
http://rs.tdwg.org/dwc/doe/version/d008-2020-02-10,d008
http://rs.tdwg.org/dwc/doe/version/d009-2020-02-10,d009
http://rs.tdwg.org/dwc/doe/version/d010-2020-02-10,d010
http://rs.tdwg.org/dwc/doe/version/d011-2020-02-10,d011
