document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,definition,usage,notes,rdf_value,rdf_type
2020-02-10T11:15:49+01:00,d001,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,native,Not transported beyond limits of native range,,Blackburn et al. (2011) category A,native,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d002,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,captive,"Individuals in captivity or quarantine (i.e. individuals provided with conditions suitable for them, but explicit measures of containment are in place)",,Blackburn et al. (2011) category B1,captive,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d003,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,cultivated,"Individuals in cultivation (i.e. individuals provided with conditions suitable for them, but explicit measures to prevent dispersal are limited at best)",,Blackburn et al. (2011) category B2,cultivated,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d004,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,released,Individuals directly released into novel environment,,Blackburn et al. (2011) category B3,released,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d005,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,failing,"Individuals released outside of captivity or cultivation in a location, but incapable of surviving for a significant period",,Blackburn et al. (2011) category C0,failing,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d006,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,casual,"Individuals surviving outside of captivity or cultivation in a location, no reproduction",,Blackburn et al. (2011) category C1,casual,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d007,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,reproducing,"Individuals surviving outside of captivity or cultivation in a location, reproduction is occurring, but population not self-sustaining",,Blackburn et al. (2011) category C2,reproducing,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d008,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,established,"Individuals surviving outside of captivity or cultivation in a location, reproduction occurring, and population self-sustaining",,Blackburn et al. (2011) category C3,established,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d009,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,colonising,"Self-sustaining population outside of captivity or cultivation, with individuals surviving a significant distance from the original point of introduction",,Blackburn et al. (2011) category D1,colonising,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d010,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,invasive,"Self-sustaining population outside of captivity or cultivation, with individuals surviving and reproducing a significant distance from the original point of introduction",,Blackburn et al. (2011) category D2,invasive,http://www.w3.org/2004/02/skos/core#Concept
2020-02-10T11:15:49+01:00,d011,http://rs.tdwg.org/dwc/doe/,2020-02-10,2020-02-10,,,,,widespreadInvasive,"Fully invasive species, with individuals dispersing, surviving and reproducing at multiple sites across a greater or lesser spectrum of habitats and extent of occurrence",,Blackburn et al. (2011) category E,widespreadInvasive,http://www.w3.org/2004/02/skos/core#Concept
